Title,Genre,Original,Generated
The Twonky,"['comedy', 'science fiction']",Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,"I don't know what to do with my life, but I know that I can do it."
Hatchet for the Honeymoon,"['horror', 'foreign']",When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,I am the only one in the world who has the power to change the course of history.
Blazing Guns,"['adventure', 'western']",THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,"The story of the town of Willow Springs, a small town in the middle of nowhere."
The Last Waltz,"['documentary', 'music']",It Started as a Concert. It Became a Celebration.,"It's the end of the world, but it's not over yet."
Escape Fire: The Fight to Rescue American Healthcare,['documentary'],How can we save our badly broken healthcare system?,"We have a disease-care system, not a health care system."
Gardens of Stone,"['drama', 'history']","The story of the war at home, and the people who lived through it.",It's not like I'm
The Dictator,['comedy'],kurd,"It's not the first time he's been in the White House, but it's the only time in his life that he has been elected president of the"
Colegas,['drama'],"They are more than friends, they are ...","If you don't have the money to pay for the abortion, you're not going to get it."
Summer Camp,['horror'],Ready for some fun?,A group of people have just signed up to be campers at a foreign country.
Thank You,"['drama', 'comedy', 'romance', 'foreign']",Husbands will say sorry ... Wives will say thank you!,The film is about three husbands having affairs outside their marriage.
Sicko,['documentary'],This might hurt a little.,
Suspect,['drama'],"No evidence, no crime","I don't know what to do with my life, but I do know that I'm not the only one who has to deal with it."
Women in Cages,"['action', 'crime', 'drama']",The dirty dolls of devil's island. You can meet them for a price!,"If you don't want to live in the jungle, you're not going to be able to get out of it."
Everything Must Go,"['comedy', 'drama']",Comedy,"It's not about the money, it's about what you do with it."
The Beast with Five Fingers,"['thriller', 'horror']",It walks like a spider... it stalks like a cobra!,"I don't know what to do, but I do know that I have to go to the hospital."
The Snow Creature,"['horror', 'science fiction']","Himalayan Monster captured 20,000 Feet above the Earth!","I am the only one in the world who has the ability to see the future, and I have the power to change the past."
Pokémon the Movie White: Victini and Zekrom,"['adventure', 'animation', 'family']",A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,I am the only one who can save Eindoak.
That Hagen Girl,['drama'],Haunted by the whispers of an indiscretion she was too innocent to understand!,Mary Hagen lives in a small town in Ohio and goes to Jordon Junior College.
After the Fox,"['crime', 'comedy']","Watch your girl, guard your gold, hold your jewels ...the fox is loose!",The Fox is the first of a series of short films to be released in the U.S.
Titan A.E.,"['animation', 'action', 'science fiction', 'family', 'adventure']","When Earth Ends, The Adventure Begins.","I don't know what to do, but I do know that I am the only one who can stop the Dredge from taking over the world."
Styx,"['action', 'crime', 'thriller']",They had the perfect plan. Just one thing was missing - Trust.,I don't know what to do with my life.
Company Business,"['action', 'thriller']",You can't judge a man by the company that keeps him!,"I don't know what to do with my life, but I do know that I'm not going to be able to live without it."
King Creole,"['drama', 'action', 'music', 'romance']",Back on screen for the first time in a year!,"I don't know what to do with my life, but I do know that I'm going to have to deal with it."
His Kind of Woman,"['drama', 'romance', 'thriller']","They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!","This is the story of a man who, in the middle of the night, decides to go to sleep with a woman he's never seen before."
Schoolgirls in Chains,['horror'],They Were Abducted and Violated... but the Worse Was Yet to Come!,"The first of a new, and the last, in the world, of the great, the most important, is to be the first in a series of"
Next Avengers: Heroes of Tomorrow,"['animation', 'family']",The children of heroes past are our only hope for the future!,I'm not the only one.
Alone With Her,"['crime', 'drama', 'romance', 'thriller']",Anytime. Anywhere. He's watching.,"I don't know what to do with my life, but I do know that I'm not the only one who has to deal with it."
The Hired Hand,['western'],Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,This is the story of a man and a woman who live together in a small town in the middle of nowhere.
Fear and Desire,"['drama', 'history']",Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,"This is the story of a young man who, in a desperate attempt to save his family, is attacked by a group of bandits."
Lord of War,"['crime', 'drama', 'thriller']","Where there's a will, there's a weapon","I don't know what to do, but I do know that I'm not going to be the only one who doesn't want to go to war."
Blackout,"['horror', 'thriller']",His obsession would become her nightmare.,I am the only one who has the power to change the world.
The French Connection,"['action', 'crime', 'thriller']",There are no rules and no holds barred when Popeye cuts loose!,I'm not a bad guy.
You Will Be Mine,"['music', 'drama']",You Will Be Mine,It's all about the money.
Superstar,"['comedy', 'family']",Dare to dream.,"I have a dream, and I want to be a star, but I don't know what to do with it."
Judge Dredd,['science fiction'],"In the future, one man is the law.","I'm a man of the people, and I'm the one who's in charge."
Bugsy Malone,"['drama', 'action', 'comedy', 'music', 'family']",Every year brings a great movie. Every decade a great movie musical!,"I don't know what to do with my life, but I do know that I'm not the only one in the world who thinks that way."
Stolen,"['action', 'crime', 'drama', 'thriller']",Never steal from the world's greatest thief.,I don't know what to do with my life.
Killer Force,"['action', 'thriller']",They were professionals who killed for hire. But the man who hunted them killed for pleasure!,"I don't know what to do with my life, but I do know that it's not going to be easy for me to live it."
The Story of Mankind,"['drama', 'fantasy']",Explorer... Warrior... Dreamer!,"I don't know what to do with my life, but I do know that I'm going to have to live with it."
Hilary and Jackie,"['music', 'drama']",Two sisters. Two lives. One Love...,It's all about love.
Interstellar,"['adventure', 'drama', 'science fiction']",Mankind was born on Earth. It was never meant to die here.,"If you're going to make it to the end of the world, you have to be willing to risk everything to get there."
Pecker,['comedy'],He never realized how far 35 millimeters would take him.,"I don't know what to do with my life, but I can't stop thinking about it."
The Waterdance,['drama'],"Sometimes, life happens by accident.","I don't know what to do with my life, but I know how to deal with it."
