Title,Genre,Original,Generated
The Twonky,"['comedy', 'science fiction']",Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,I'm not the only one.
Hatchet for the Honeymoon,"['horror', 'foreign']",When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,"I don't know what to do with my life, but I can't help but think of a way out of it."
Blazing Guns,"['adventure', 'western']",THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,"It's the end of the world, and we're all going to die."
The Last Waltz,"['documentary', 'music']",It Started as a Concert. It Became a Celebration.,"I don't know what I'm going to do with my life, but I do know that I have to find a way to live with it."
Escape Fire: The Fight to Rescue American Healthcare,['documentary'],How can we save our badly broken healthcare system?,"We have a disease-care system, not a health care system."
Gardens of Stone,"['drama', 'history']","The story of the war at home, and the people who lived through it.","I'm not a soldier, but I'm a man."
The Dictator,['comedy'],kurd,I am the only one who has the courage to stand up for what I believe in.
Colegas,['drama'],"They are more than friends, they are ...","I don't know what to do with my life, but I'm going to try to find a way to get out of it."
Summer Camp,['horror'],Ready for some fun?,I am the only one who can save the world.
Thank You,"['drama', 'comedy', 'romance', 'foreign']",Husbands will say sorry ... Wives will say thank you!,"I don't know what to do with my life, but I'm not going to let this happen to me."
Sicko,['documentary'],This might hurt a little.,The more people you deny health insurance the more money we make is the business model for health care providers in the United States who are trying to make money
Suspect,['drama'],"No evidence, no crime",I don't know what to do with my life.
Women in Cages,"['action', 'crime', 'drama']",The dirty dolls of devil's island. You can meet them for a price!,I'm not going to let this happen to me.
Everything Must Go,"['comedy', 'drama']",Comedy,"It's not just about money, it's about love."
The Beast with Five Fingers,"['thriller', 'horror']",It walks like a spider... it stalks like a cobra!,"It's not the end of the world, it's the beginning of a new world."
The Snow Creature,"['horror', 'science fiction']","Himalayan Monster captured 20,000 Feet above the Earth!",It's the end of the world.
Pokémon the Movie White: Victini and Zekrom,"['adventure', 'animation', 'family']",A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,This is the story of a group of people who live in a small town in the middle of nowhere.
That Hagen Girl,['drama'],Haunted by the whispers of an indiscretion she was too innocent to understand!,"I don't know who I am, but I know what I want to do with my life, and I'm not going to let it get to me"
After the Fox,"['crime', 'comedy']","Watch your girl, guard your gold, hold your jewels ...the fox is loose!","I am the only one who can make it to the end of the world, and I am not going to let you down."
Titan A.E.,"['animation', 'action', 'science fiction', 'family', 'adventure']","When Earth Ends, The Adventure Begins.","I am the only one who can stop the Dredge from destroying the world, and I will not let them do it."
Styx,"['action', 'crime', 'thriller']",They had the perfect plan. Just one thing was missing - Trust.,"It's not about the money, it's about what you do for a living."
Company Business,"['action', 'thriller']",You can't judge a man by the company that keeps him!,"I am a man of the people, and I am the only one who can save the world."
King Creole,"['drama', 'action', 'music', 'romance']",Back on screen for the first time in a year!,I don't know what to do with my life.
His Kind of Woman,"['drama', 'romance', 'thriller']","They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!","It's not about the money, it's about who you are and what you do."
Schoolgirls in Chains,['horror'],They Were Abducted and Violated... but the Worse Was Yet to Come!,"It's not about the money, it's about love."
Next Avengers: Heroes of Tomorrow,"['animation', 'family']",The children of heroes past are our only hope for the future!,The Avengers are a team of super-villains who are trying to save the world from the forces of evil.
Alone With Her,"['crime', 'drama', 'romance', 'thriller']",Anytime. Anywhere. He's watching.,I don't know what to do with my life.
The Hired Hand,['western'],Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,"It's not the end of the world, it's the beginning of a new world."
Fear and Desire,"['drama', 'history']",Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,This is the story of a group of young men who find themselves in the midst of an international war.
Lord of War,"['crime', 'drama', 'thriller']","Where there's a will, there's a weapon","It's not about the money, it's about who you are and what you stand for."
Blackout,"['horror', 'thriller']",His obsession would become her nightmare.,"It's not about the money, it's about who you are and what you're going to do with your life."
