Title,Original,Generated
The Twonky,Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,It's not what you think it is.
Hatchet for the Honeymoon,When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,It's not a dream.
Blazing Guns,THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,It's time to get rid of the bad guys.
The Last Waltz,It Started as a Concert. It Became a Celebration.,The Band's farewell tour
Escape Fire: The Fight to Rescue American Healthcare,How can we save our badly broken healthcare system?,The battle is not over.
Gardens of Stone,"The story of the war at home, and the people who lived through it.",The story of a man who risked everything to save his son's life.
The Dictator,kurd,The story of the man who risked everything to save democracy.
Colegas,"They are more than friends, they are ...",Two friends.
Summer Camp,Ready for some fun?,It's not just a camp.
Thank You,Husbands will say sorry ... Wives will say thank you!,Three husbands.
Sicko,This might hurt a little.,Health care is a business.
Suspect,"No evidence, no crime",It's not what you think.
Women in Cages,The dirty dolls of devil's island. You can meet them for a price!,She's the only one who can save her.
Everything Must Go,Comedy,It's not easy being gay.
The Beast with Five Fingers,It walks like a spider... it stalks like a cobra!,There's a killer in every house.
The Snow Creature,"Himalayan Monster captured 20,000 Feet above the Earth!",The wildest creature in the world is back!
Pokémon the Movie White: Victini and Zekrom,A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,The greatest battle of all time!
That Hagen Girl,Haunted by the whispers of an indiscretion she was too innocent to understand!,It's not just a rumor.
After the Fox,"Watch your girl, guard your gold, hold your jewels ...the fox is loose!",It's not just a movie.
Titan A.E.,"When Earth Ends, The Adventure Begins.",The only way to save mankind is to destroy them.
Styx,They had the perfect plan. Just one thing was missing - Trust.,It's not just a job.
Company Business,You can't judge a man by the company that keeps him!,The Cold War is over.
King Creole,Back on screen for the first time in a year!,"He's got the talent, the money, and the money to do it."
His Kind of Woman,"They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!",It's not a game.
Schoolgirls in Chains,They Were Abducted and Violated... but the Worse Was Yet to Come!,Revenge is the only weapon they have.
Next Avengers: Heroes of Tomorrow,The children of heroes past are our only hope for the future!,It's not what you think it is.
Alone With Her,Anytime. Anywhere. He's watching.,Sometimes you just have to watch.
The Hired Hand,Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,He's back.
Fear and Desire,Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,The story of a man who risked everything to save his country.
Lord of War,"Where there's a will, there's a weapon",The story of a man who risked everything to save the lives of millions.
Blackout,His obsession would become her nightmare.,The truth is stranger than fiction.
The French Connection,There are no rules and no holds barred when Popeye cuts loose!,The most dangerous man in the world is back!
You Will Be Mine,You Will Be Mine,A love story that will change your life forever.
Superstar,Dare to dream.,She's a star.
Judge Dredd,"In the future, one man is the law.",Justice will be served.
Bugsy Malone,Every year brings a great movie. Every decade a great movie musical!,The Musical That Changed the World!
Stolen,Never steal from the world's greatest thief.,You can't escape your past.
Killer Force,They were professionals who killed for hire. But the man who hunted them killed for pleasure!,The story of a man who risked everything to save the lives of millions.
The Story of Mankind,Explorer... Warrior... Dreamer!,It's a battle of the sexes!
Hilary and Jackie,Two sisters. Two lives. One Love...,The story of one of the greatest cellists of all time.
Interstellar,Mankind was born on Earth. It was never meant to die here.,The adventure of a lifetime.
Pecker,He never realized how far 35 millimeters would take him.,"It's not what you eat, it's how you eat it."
The Waterdance,"Sometimes, life happens by accident.",A comedy about life and death.
Apache Rifles,The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,They're coming for you.
Captain Horatio Hornblower R.N.,The sun never sets on his world of adventure.,The greatest adventure of all time!
Captivity,When You Think The Worst Has Happened... Think Worse,The most shocking images you'll ever see.
Young Sherlock Holmes,"Before a lifetime of adventure, they lived the adventure of a lifetime.",The greatest detective story of all time!
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"Still Dead, And Now in 3D",The funniest comedy of all time!
Google Me,It all started when i Googled my name.,The story of a man who changed the face of the world.
Gasland,Can you light your water on fire?,The story of the fracking revolution in America.
That Thing You Do!,In every life there comes a time when that dream you dream becomes that thing you do.,The story of a band that won the hearts and minds of the country!
Awake,"Every year, one in 700 people wake up during surgery.",Sometimes you just have to wait.
Find Me,Some secrets should stay hidden,It's not just a game.
Safe Men,Welcome to the world of disorganised crime.,"A comedy about love, sex, and the underworld."
The Greek Tycoon,"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.",A love story about love and revenge.
Bluebird,"Merel, a talented young girl, is suddenly getting bullied at school.",She's got a lot to learn.
Race,Two Brothers... One Plays to Win... One Plays to Defeat,Two brothers.
A Time for Killing,Two violent men... and a violated woman!,The battle of the Southwest is over.
The Brave One,How many wrongs to make it right?,Vengeance is the only weapon she has.
Smiling Fish & Goat On Fire,"two brothers, four women and the search for Magnetic Perfection",A love story of two brothers.
Maximum Ride,Welcome To Her Nightmare,It's a race against time.
Better Than Chocolate,A delicious romantic comedy.,It's not what you think.
