Title,Genre,Original,Generated
Jumanji,"['adventure', 'fantasy', 'family']",Roll the dice and unleash the excitement!,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the"
Grumpier Old Men,"['romance', 'comedy']",Still Yelling. Still Fighting. Still Ready for Love.,A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max.
Waiting to Exhale,"['comedy', 'drama', 'romance']",Friends are the people who let you be yourself... and never let you forget it.,"""It's not about the money, it's about finding the right person to take care of you."
Father of the Bride Part II,['comedy'],Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,"This is the story of a man who, after his wife's death, decides to give birth to a baby girl who will be his own."
Heat,"['action', 'crime', 'drama', 'thriller']",A Los Angeles Crime Saga,"""It's not about the money, it's about what you do with it."
Sabrina,"['comedy', 'romance']",You are cordially invited to the most surprising merger of the year.,"""It's not about the money, it's about what you do with it."
Tom and Huck,"['action', 'adventure', 'drama', 'family']",The Original Bad Boys.,"""I don't know what to do with my life, but I do know that I'm going to have to live with it for the rest of my days"
Sudden Death,"['action', 'adventure', 'thriller']",Terror goes into overtime.,"""If you want to be a hero, you have to fight for it."
GoldenEye,"['adventure', 'action', 'thriller']",No limits. No fears. No substitutes.,"""It's time to go back to the drawing board, and we're going to have to find a way to make the world a better place.""Director:"
The American President,"['comedy', 'drama', 'romance']",Why can't the most powerful man in the world have the one thing he wants most?,"""It's not about the money, it's about who you are and what you stand for."
Balto,"['family', 'animation', 'adventure']",Part Dog. Part Wolf. All Hero.,"""I'm not a bad guy."
Nixon,"['history', 'drama']","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",An all-star cast powers this epic look at American President Richard M.
Cutthroat Island,"['action', 'adventure']",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"""If you're going to do something, do it with the right people."
Casino,"['drama', 'crime']",No one stays at the top forever.,"""The life of the gambling paradise – Las Vegas – and its dark mafia underbelly."" The film is based on the book by the same author."
Sense and Sensibility,"['drama', 'romance']",Lose your heart and come to your senses.,"""It's not about money, it's about love."
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments.
