Title,Genre,Original,Generated
The Twonky,"['comedy', 'science fiction']",Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,"A college professor, left alone by his wife for the weekend, discovers his new TV set is not only alive, but determined to take control of his entire life"
Hatchet for the Honeymoon,"['horror', 'foreign']",When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,A young man and a young woman are on a road trip to a remote village in the middle of the night.
Blazing Guns,"['adventure', 'western']",THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,The town of Willow Springs is in danger of being overrun by a band of outlaws.
The Last Waltz,"['documentary', 'music']",It Started as a Concert. It Became a Celebration.,This is the story of a group of young men and women who are on a mission to save the world from the forces of evil.
Escape Fire: The Fight to Rescue American Healthcare,['documentary'],How can we save our badly broken healthcare system?,It's time for a change.
Gardens of Stone,"['drama', 'history']","The story of the war at home, and the people who lived through it.",He'll be back.
The Dictator,['comedy'],kurd,He'll be back.
Colegas,['drama'],"They are more than friends, they are ...",The story of a young man who is a serial killer.
Summer Camp,['horror'],Ready for some fun?,A group of people have just signed up to be camp Councillors at a foreign country.
Thank You,"['drama', 'comedy', 'romance', 'foreign']",Husbands will say sorry ... Wives will say thank you!,The story of a man and his wife.
Sicko,['documentary'],This might hurt a little.,It's all about the money.
Suspect,['drama'],"No evidence, no crime",A young man in the middle of the night in a small town is attacked by a group of gang members.
Women in Cages,"['action', 'crime', 'drama']",The dirty dolls of devil's island. You can meet them for a price!,"A young girl is kidnapped by a gang of gang members and taken to a remote island in the middle of the jungle, where she is forced to work as a"
Everything Must Go,"['comedy', 'drama']",Comedy,He'll be back.
The Beast with Five Fingers,"['thriller', 'horror']",It walks like a spider... it stalks like a cobra!,The story of a young man who is sent to an orphanage to be raised by a group of orphaned children.
The Snow Creature,"['horror', 'science fiction']","Himalayan Monster captured 20,000 Feet above the Earth!","A botanical expedition to the Himalayas captures a Yeti and brings it back alive to Los Angeles, where it escapes and runs amok, seeking food"
Pokémon the Movie White: Victini and Zekrom,"['adventure', 'animation', 'family']",A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,Orphaned brothers Kutchek and Gore are adopted by a tribe led by Canary the owner of a powerful jewel.
That Hagen Girl,['drama'],Haunted by the whispers of an indiscretion she was too innocent to understand!,Maryann is the only girl in the town who has the ability to speak.
After the Fox,"['crime', 'comedy']","Watch your girl, guard your gold, hold your jewels ...the fox is loose!",He'll be back.
Titan A.E.,"['animation', 'action', 'science fiction', 'family', 'adventure']","When Earth Ends, The Adventure Begins.",He'll be back.
Styx,"['action', 'crime', 'thriller']",They had the perfect plan. Just one thing was missing - Trust.,A young man in the middle of a life-altering drug-dealing scandal.
Company Business,"['action', 'thriller']",You can't judge a man by the company that keeps him!,A young man is sent to the United States to work for the U.S.
King Creole,"['drama', 'action', 'music', 'romance']",Back on screen for the first time in a year!,A young man in the middle of a drug-fueled drug war.
His Kind of Woman,"['drama', 'romance', 'thriller']","They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!","A young man in his mid-twenties is sent on a quest to find his father, a man he has never met, and his mother, who"
Schoolgirls in Chains,['horror'],They Were Abducted and Violated... but the Worse Was Yet to Come!,A young girl is kidnapped by a gang of gangsters.
Next Avengers: Heroes of Tomorrow,"['animation', 'family']",The children of heroes past are our only hope for the future!,He'll be back.
Alone With Her,"['crime', 'drama', 'romance', 'thriller']",Anytime. Anywhere. He's watching.,He'll be back.
The Hired Hand,['western'],Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,Harry's life is about to change forever.
