Title,Genre,Original,Generated
The Twonky,"['comedy', 'science fiction']",Out of Your Own Tomorrow... Out of Time and Space a Fearsome Power!,"A college professor, left alone by his wife for the weekend, discovers his new TV set is not only alive, but determined to take control of his entire life"
Hatchet for the Honeymoon,"['horror', 'foreign']",When you chop - Aim well! Don't slip! And just make sure - She doesn't drip!,He'll be back.
Blazing Guns,"['adventure', 'western']",THE WEST'S THRILL CHAMPS IN ACTION AGAIN!,"I'm not a bad guy, I'm a good time, and a place."
The Last Waltz,"['documentary', 'music']",It Started as a Concert. It Became a Celebration.,This is the story of a young man who finds himself in the middle of the world's greatest rock 'n' roll band.
Escape Fire: The Fight to Rescue American Healthcare,['documentary'],How can we save our badly broken healthcare system?,It's time for a change.
Gardens of Stone,"['drama', 'history']","The story of the war at home, and the people who lived through it.",A young soldier is sent on a mission to save his father's life when he is attacked by a group of terrorists.
The Dictator,['comedy'],kurd,The story of a man who is forced to fight for his country.
Colegas,['drama'],"They are more than friends, they are ...","The story of a young girl who finds herself in the midst of strange goings-on, which evolve into a web of crime and murder."
Summer Camp,['horror'],Ready for some fun?,A group of people have just signed up to be camp Councillors at a foreign country.
Thank You,"['drama', 'comedy', 'romance', 'foreign']",Husbands will say sorry ... Wives will say thank you!,The story of a man who finds himself in the middle of an affair with his wife.
Sicko,['documentary'],This might hurt a little.,It's all about the money.
Suspect,['drama'],"No evidence, no crime","Rob Dekoster is a good man, albeit a bit too frivolous and liberal with funds the local arts center's interim director."
Women in Cages,"['action', 'crime', 'drama']",The dirty dolls of devil's island. You can meet them for a price!,A young woman in the middle of a war with her family.
Everything Must Go,"['comedy', 'drama']",Comedy,He'll be back.
The Beast with Five Fingers,"['thriller', 'horror']",It walks like a spider... it stalks like a cobra!,It's time to get out of the house.
The Snow Creature,"['horror', 'science fiction']","Himalayan Monster captured 20,000 Feet above the Earth!",It's time for a new adventure.
Pokémon the Movie White: Victini and Zekrom,"['adventure', 'animation', 'family']",A Hero Must Choose: The Power of Ideals... or the Courage of Truth?,Orphaned brothers Kutchek and Gore are adopted by a tribe led by Canary the owner of a powerful jewel.
That Hagen Girl,['drama'],Haunted by the whispers of an indiscretion she was too innocent to understand!,Mary Ann is the daughter of a wealthy family.
