Title,Original,Generated
Jumanji,Roll the dice and unleash the excitement!,It's not just a game...
Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.,"It's not a wedding, it's a love affair..."
Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.,There's only one man in the world who can save us all from the men who want nothing to do with us.
Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,It's time for George and Nina to have a baby...and they're not going to be happy about it.
Heat,A Los Angeles Crime Saga,The most dangerous man in L.A.
Sabrina,You are cordially invited to the most surprising merger of the year.,He's not just a duck...
Tom and Huck,The Original Bad Boys.,"It's a story about friendship, loyalty, betrayal, revenge and what happens when you choose to honor a friend's oath or honor your family's honor..."
Sudden Death,Terror goes into overtime.,"It's not the end of the world, it's the beginning of your adventure."
GoldenEye,No limits. No fears. No substitutes.,The most dangerous man in the world is back...
The American President,Why can't the most powerful man in the world have the one thing he wants most?,He's the only one who can stop the war on women...and men.
Balto,Part Dog. Part Wolf. All Hero.,It's not going to be easy to get rid of a wolf...it'll be a lot more difficult to kill a man...and a woman...if you
Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",He's the only one who can stop the madness.
Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,It's a battle of wits between two men who have never fought a war...
Casino,No one stays at the top forever.,"It's all about the money, the women and the men."
Sense and Sensibility,Lose your heart and come to your senses.,The story of a family's struggle to survive the death of one's first love...
Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",The night will be the night of your nightmares...
Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,The only way out is to get there first.
Money Train,"Get on, or GET OUT THE WAY!",He's the only one who knows how to get out of his own way.
Get Shorty,"The mob is tough, but it’s nothing like show business.",You can't be a star without a story.
Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",There's no such thing as a perfect murder victim.
Assassins,"In the shadows of life, In the business of death, One man found a reason to live...",There's only one way to get rid of a man...
Powder,An extraordinary encounter with another human being.,You can't change the past...
Leaving Las Vegas,I Love You... The Way You Are.,"A comedy about love, sex, drugs, love..."
Othello,"Envy, greed, jealousy and love.","It's not the end of the world, it's the beginning of love."
