Title,Original,Generated
Jumanji,Roll the dice and unleash the excitement!,"It's a game of life and death."""
Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.,"It's not just a wedding... it's a family affair."""
Waiting to Exhale,Friends are the people who let you be yourself... and never let you forget it.,"Sometimes the only way out is through the arms of a man."""
Father of the Bride Part II,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,"The story of a man who changed the course of history."""
Heat,A Los Angeles Crime Saga,"It's a game of cat and mouse until one of them wins."""
Sabrina,You are cordially invited to the most surprising merger of the year.,"It's not what you think it is, it's how you feel."""
Tom and Huck,The Original Bad Boys.,"The story of a man who risked everything to save his family."""
Sudden Death,Terror goes into overtime.,"It's not a game... it's a life."""
GoldenEye,No limits. No fears. No substitutes.,"The most dangerous man in the world is about to be exposed."""
The American President,Why can't the most powerful man in the world have the one thing he wants most?,"A comedy about love, power, and the power of a woman."""
Balto,Part Dog. Part Wolf. All Hero.,"It's not what you see, it's who you trust."""
Nixon,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","The story of one man's struggle to make America great again."""
Cutthroat Island,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,"She's a pirate. She'll do anything to get it."""
Casino,No one stays at the top forever.,"Vegas is a place where you can gamble, gamble and die."""
Sense and Sensibility,Lose your heart and come to your senses.,"The story of a man who made the world a better place."""
Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","He's got to be the funniest guy in the room!"""
Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.,"The battle for the heart and soul of a warrior is on."""
Money Train,"Get on, or GET OUT THE WAY!","He's the only one who knows how to get out of the subway."""
Get Shorty,"The mob is tough, but it’s nothing like show business.","The story of a man and a woman who met and fell in love."""
Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.","It's not what you think it is, it's how you feel."""
Assassins,"In the shadows of life, In the business of death, One man found a reason to live...","He's a killer. She's an assassin. They're all killers."""
Powder,An extraordinary encounter with another human being.,"It's not what you think it is, it's how you feel."""
Leaving Las Vegas,I Love You... The Way You Are.,"A comedy about love, sex, drugs, and the devil."""
Othello,"Envy, greed, jealousy and love.","It's not the end of the world... it's just the beginning."""
Now and Then,In every woman there is the girl she left behind.,"It was a summer full of fun, laughter and laughter all at once."""
The City of Lost Children,Where happily ever after is just a dream.,The dream is real. The nightmare is a lie. And the truth is even
Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.,"The story of a boy who became a master of the underworld."""
Dangerous Minds,She broke the rules... and changed their lives.,"She's got it all. She'll do anything to get it."""
Twelve Monkeys,The future is history.,"Time is running out for the world's most dangerous killers."""
Babe,A little pig goes a long way.,"He's got a lot of friends. He can do anything."""
Carrington,A Love so Unusual it has to be True,"A story about love, courage, and friendship."""
It Takes Two,Two identical strangers. Two different worlds. One perfect match.,"The story of a boy who was raised by a single mother."""
Clueless,Sex. Clothes. Popularity. Is there a problem here?,"It's not what you think it is. It is what happens."""
Richard III,"I can smile, and murder while I smile","The story of a man and a woman who are destined to live forever."""
Dead Presidents,"In this daring heist, the only color that counts is green","The story of a man who risked everything to get what he wanted."""
Mortal Kombat,Nothing In This World Has Prepared You For This.,"It's not just a game. It’s a legend."""
To Die For,All she wanted was a little attention.,"A comedy about love, death, and the power of the screen."""
How To Make An American Quilt,There's beauty in the patterns of life.,"It's all about the adventure."""
Se7en,Seven deadly sins. Seven ways to die.,"The Seven Deadly Sins in This Dark and Shocking Film"""
Pocahontas,An American legend comes to life.,"The story of a woman who became the hero of her people."""
The Usual Suspects,Five Criminals. One Line Up. No Coincidence.,"He's the only one who knows the truth. He knows who to trust."""
Guardian Angel,She's no angel of mercy.,"She's got a killer on her mind. He's in love with her."""
The Big Green,The biggest kick of the year!,"The funniest thing about soccer is that it's all about winning."""
Georgia,The toughest act to follow was their dreams.,"The story of a girl who can sing, dance and sing."""
Home for the Holidays,We'll do it every year..until we get it right,"It's Christmas Eve. You're going to have to make a choice."""
Eye for an Eye,What do you do when justice fails?,"The story of a mother and her daughter who are on the run."""
Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own.","The story of a man who changed the way we thought about music."""
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",He's got a gun. He has a girlfriend. And he's going to
Two If by Sea,"A new comedy about love, laughter, and larceny","The story of a man who made a mistake. A woman who didn't."""
Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,"You can't save the world if you don't know what you're doing."""
